Title,Developer(s)
Skeleton Krew,Core Design
Skitchin',Electronic Arts
Slap Fight MD,MNM Software
Slaughter Sport Fat ManJP,Brian A. Rice Mediagenic
The Smurfs,Infogrames
The Smurfs: Tour of the World,Infogrames
Snake Rattle 'n' Roll,Rare
Snow Bros.,Toaplan
Socket Time Dominator 1stJP,Vic Tokai
Sol-Feace,Wolf Team
Sonic 3D Blast Sonic 3D Flickies' IslandPAL,Traveller's Tales
Sonic & Knuckles,Sega Technical Institute
Sonic the Hedgehog,Sonic Team
Sonic the Hedgehog 2,Sega Technical Institute
Sonic the Hedgehog 3,Sega Technical Institute
Sonic Spinball,Sega Technical Institute
Sorcerer's Kingdom,NCS
Sorcerian,Sega
Space Harrier II,Sega
Space Invaders '90 Space Invaders 91NA,Taito
Sparkster: Rocket Knight Adventures 2,Konami
Speedball 2: Brutal Deluxe,The Bitmap Brothers
Spider-Man,Western Technologies
Spider-Man vs. The Kingpin,Technopop
Spider-Man and Venom: Maximum Carnage,Software Creations
Spider-Man and the X-Men in Arcade's Revenge,Software Creations
Spirou,Infogrames
Splatterhouse 2,Now Production
Splatterhouse 3,Now Production
Sports Talk Baseball Pro Yakyū Super League '91JP,Sega
Spot Goes To Hollywood,Eurocom
S.S. Lucifer: Man Overboard!,Odysseus Software
