Title,Developer(s)
Hokuto no Ken 6,Shouei
Hokuto no Ken 7,Shouei
Holy Umbrella: Dondera no Mubo,Earthly Soft
Home Alone,Imagineering
Home Alone 2: Lost in New York,Imagineering
Home Improvement: Power Tool Pursuit!,Imagineering
Honkaku Mahjong: Tetsuman,Syscom
Honkaku Mahjong: Tetsuman II,Khaos
Honkaku Shougi: Fuuunji Ryuuou,Aisystem Tokyo
Honkakuha Igo: Gosei,Aisystem Tokyo
Honke Sankyo Fever: Jikkyou Simulation,Vistec
Honke Sankyo Fever: Jikkyou Simulation 2,Vistec
Honke Sankyo Fever: Jikkyou Simulation 3,Vistec
Honoo no Doukyuuji: Dodge Danpei,
Hook,Ukiyotei
Horai Gakuen no Bouken!,Dynamite
Houkago in Beppin Jogakuin,Access
Human Baseball,Human Entertainment
Human Grand Prix III: F1 Triple Battle,Human Entertainment
Human Grand Prix IV: F1 Dream Battle,Human Entertainment
The Humans,Imagitec Design
Hungry Dinosaurs •Harapeko BakkaJP,Magical Company
The Hunt for Red October,Riedel Software Productions
Hurricanes,Probe Entertainment
Hyper Battle Game: Zen Nihon GT Senshuken,C.P. Brain
Hyper Iria,Tam Tam
Hyper V-Ball •Super Volley IIJP [a],Video System
HyperZone,HAL Laboratory
Idea no Hi,Office Koukan
The Ignition Factor •Fire FightingJP,Jaleco
Igo Club,
Ihatovo Monogatari,Hect
Illusion of Gaia •Illusion of TimeEU •Gaia GensoukiJP,Quintet
Illvanian no Shiro,
Imperium •Kidou Soukou DaionJP,Jorudan
Inazuma Serve da!! Super Beach Volley,
Incantation,Titus Software
The Incredible Crash Dummies •The Incredible Crash Dummies: Slick Bouya no DaichousenJP,Gray Matter
The Incredible Hulk,Probe Entertainment
Indiana Jones' Greatest Adventures,Factor 5
Inindo: Way of the Ninja •Super Inindo: Datou NobunagaJP,Koei
Inspector Gadget,AIM
International Sensible Soccer: World Champions,Sensible Software
International Superstar Soccer •Jikkyou World Soccer: Perfect ElevenJP,Konami
